TASK_ID,STATUS,USER_ID,IP_ADDRESS,COUNTRY,START_TIME,FINISH_TIME,TIME_TOOK_TO_COMPLETE_TASK,VIDEO_URL,speak_language,category,mrbeast,arborday,teamtrees_org,noteble_youtuber,noteble_entrepreneur,event_name,quality,creativity,awareness
9405170,OK,8545f2f8,2a02:c7f:700a:ee00:a439:aa8f:5bf9:6193,United Kingdom,"Saturday, 08-Feb-20 05:17:16 EST","Saturday, 08-Feb-20 05:26:19 EST",9 minute(s) and 3 second(s),https://www.youtube.com/embed/smGmC-o4CvU?autoplay=0,speak_yes,knowledge,0,1,0,0,0,TeamTrees,high,high,very_high
9410852,OK,a4ba7ac3,2003:c5:713:8100:112b:6b32:fab9:4de9,United Kingdom,"Saturday, 08-Feb-20 08:25:48 EST","Saturday, 08-Feb-20 08:33:42 EST",7 minute(s) and 54 second(s),https://www.youtube.com/embed/PeyYmhPcOiY?autoplay=0,speak_yes,comment_news,1,1,1,0,0,TeamTrees,high,high,neutral
9405061,OK,e18729fe,24.76.93.26,Canada,"Friday, 07-Feb-20 16:47:19 EST","Friday, 07-Feb-20 16:52:15 EST",4 minute(s) and 56 second(s),https://www.youtube.com/embed/zIyshL3PdD4?autoplay=0,speak_yes,spread_word,1,0,1,0,0,TeamTrees,high,neutral,very_high
9422661,OK,df6282ae,2a02:8084:88c2:2800:942e:a907:3b0a:ad98,Ireland,"Monday, 10-Feb-20 08:37:17 EST","Monday, 10-Feb-20 08:46:08 EST",8 minute(s) and 51 second(s),https://www.youtube.com/embed/mUb65tbOtoI?autoplay=0,speak_yes,theme_creation_performance,0,0,1,0,0,TeamTrees,neutral,low,neutral
9419154,OK,ca7dcfcd,128.189.190.145,Canada,"Sunday, 09-Feb-20 23:49:54 EST","Sunday, 09-Feb-20 23:56:43 EST",6 minute(s) and 49 second(s),https://www.youtube.com/embed/w5r2fq-uq48?autoplay=0,speak_yes,knowledge,0,0,0,0,0,TeamTrees,low,neutral,neutral
9407627,OK,6f508133,172.245.10.98,United States,"Saturday, 08-Feb-20 04:01:31 EST","Saturday, 08-Feb-20 04:13:03 EST",11 minute(s) and 32 second(s),https://www.youtube.com/embed/WKf5SmWuT-Q?autoplay=0,speak_yes,planting_trees,0,1,1,0,0,TeamTrees,high,high,high
9405248,OK,f103657b,2600:1:9361:47d3:c0e4:3850:b3e3:ed5f,United States,"Friday, 07-Feb-20 19:42:02 EST","Friday, 07-Feb-20 19:51:32 EST",9 minute(s) and 30 second(s),https://www.youtube.com/embed/QdTcT2bYWhM?autoplay=0,speak_yes,theme_creation_object,1,1,1,0,0,TeamTrees,high,very_high,high
9405205,OK,8545f2f8,2a02:c7f:700a:ee00:a439:aa8f:5bf9:6193,United Kingdom,"Friday, 07-Feb-20 18:01:12 EST","Friday, 07-Feb-20 18:09:03 EST",7 minute(s) and 51 second(s),https://www.youtube.com/embed/c7zizaxZKDQ?autoplay=0,speak_yes,planting_trees,1,1,0,0,0,TeamTrees,high,neutral,neutral
9412010,OK,5fb336fc,186.93.176.177,United States,"Saturday, 08-Feb-20 11:50:23 EST","Saturday, 08-Feb-20 11:52:54 EST",2 minute(s) and 31 second(s),https://www.youtube.com/embed/D5U2zMXfabc?autoplay=0,speak_little,theme_creation_performance,0,0,1,0,0,TeamTrees,neutral,high,high
9407595,OK,6f508133,172.245.10.98,United States,"Saturday, 08-Feb-20 03:22:46 EST","Saturday, 08-Feb-20 03:29:54 EST",7 minute(s) and 8 second(s),https://www.youtube.com/embed/gfwX5niNBdY?autoplay=0,speak_yes,spread_word,0,1,1,0,0,TeamTrees,high,high,high
