video_url,diagnostic (problem),prognostic (plan of attack),motivation (call to arms)
https://www.youtube.com/watch?v=43-CpsLHx7w,None,"unboxing tt tshirt, didn't say what tt is about","2020 is upon us, let's make some great changes"
https://www.youtube.com/watch?v=CTkT_Ulkp1c,,,
https://www.youtube.com/watch?v=YWDHysn7kpU,None,"short intro about tt, planting trees in minecraft","I am supporting this amazing cause to help save the planet, if we can all gather together we can achieve goal"
https://www.youtube.com/watch?v=Y40oQ4dmh-I,,,
https://www.youtube.com/watch?v=OFeD_4bZppk,None,"mention tt-the reason for vid, some game play, then plant actual trees based on game results","if you guys want to help
out without actually going out playing trees go to team trees and donate a dollar"
https://www.youtube.com/watch?v=YAxs1qLXWBE,None,saying teamtrees.org a bunch of times,None
https://www.youtube.com/watch?v=gqng2MPClO8,"deforestation, corps cutting down trees","in depth intro about tt, deforestation problems, then build taser tree ","we are doing the largest YouTube collab of all time, please join.  team
trees is a statement a symbol of what we can do when we get together "
https://www.youtube.com/watch?v=hCOwI8qtcBc,"a climate-change program in China that has planted many trees, we can't lose to the communists","animation, characters talking about tt","planting trees is a positive thing, fish (character) needs oxygen"
https://www.youtube.com/watch?v=rX29UBkP5_A,None,animation about Steve destroying trees,"don't be like Steve, save the trees"
https://www.youtube.com/watch?v=xS0-9IR4aI8,trees makes oxygen,"sexual innuendos poem about trees, and tt","we must embrace the dirt and not focus on wealth, if you want to donate or inspire people, the world is dying"
https://www.youtube.com/watch?v=BvDomCZjOls,None,"random storytelling about tt, not very informative","save the planet, donate to tt"
https://www.youtube.com/watch?v=3TQxsTpywdk,None,"animation, random storytelling about trees, not very informative",enjoy trees? Donate to tt
https://www.youtube.com/watch?v=6kt0T0r-Kuk,None,animation about planting a tree,donate to tt
https://www.youtube.com/watch?v=ouxmQoWNebE,None,"showing a lot of trees in roblox, tt banner in the end",None
https://www.youtube.com/watch?v=3VUsgSFYz6M,"think about the co2 emissions, providing animal with shelters","talk about teamtreees, info, then plant actual trees","donate on team trees, the trees are perfect for your climate, you can be proud for the rest of your life"
https://www.youtube.com/watch?v=O8KQxXBO7pI,Spanish,,
https://www.youtube.com/watch?v=ZNz_tE5VgCY,"the impact would be amazing, so much oxygen",generations react to Mr Beast video and the campaign,"youtuber gather together to create a very large movement, be inspiring for changes, be positive influence, the power of collective action"
https://www.youtube.com/watch?v=rokEqZGNCk4,None,winning tickets in arcade to donate money to tt,None
https://www.youtube.com/watch?v=8-Ykr3CdmE0,"loss of habitat for wild animals, deforestation",videos introducing TT and talk about climate change negative effects,"save the bees help the trees, donate"
https://www.youtube.com/watch?v=PeyYmhPcOiY,"deforestation, wildfires, increasing global warming, wildlife endangered","long intro about tt, donating 1k","save the planet, save environment, donate if you want your grandkids to live happy"
https://www.youtube.com/watch?v=Q46iP7Ox7Vs,None,"reacting to an animation about tt, some intro about tt",None
https://www.youtube.com/watch?v=2ugaDKZDsno,"trees being cut down at an alarming rate, too much plastics","plant actual trees, talk about climate and how excessive humankind has been","we should reflect more on important trees are, try giving back to the planet, do your part by donating"
https://www.youtube.com/watch?v=mDAJ2vxsa7k,None,promote tt,go like all the teamtrees videos
https://www.youtube.com/watch?v=Ca7k3R4aGtk,None,video clip that's modified to be funny and tt-related: elon musk donates a lot,None
https://www.youtube.com/watch?v=9iHYHTFZ9To,None,"livestream playing games, short 30s intro about tt and mr beast and donation site",go donate
https://www.youtube.com/watch?v=74-JnHMXZzQ,None,"go hiking with dog, show donation",adding trees if you like hiking
https://www.youtube.com/watch?v=13MQldzwxkE,None,"touring garden, matching donation, show enthusiasm for nature",go donate
https://www.youtube.com/watch?v=jaJOYbr96sU,,,
https://www.youtube.com/watch?v=DOdDURQtXFI,None,react to tt video,go donate
https://www.youtube.com/watch?v=sBaG_xBQbzo,"deforestation, unsustainable activity of homebuilding",stats on how destructive homebuilders are re: deforestation,"tree matters, everyone could do their little part"
