video_url,diagnostic (problem),prognostic (plan of attack),motivation (call to arms)
https://www.youtube.com/watch?v=j3Xj6SNIY94,None,"5s mention tt, reacting to medical memes","save the planets and plant some trees, go donate"
https://www.youtube.com/watch?v=w89UZ5XOoLc,None,"play arcade game and try to win money to donate, didn't mention anything else about tt",None
https://www.youtube.com/watch?v=g6JkRxhPAHI,None,"donate money, play minecraft","make a positive change, make earth a beautiful place, the project needs our help, go donate"
https://www.youtube.com/watch?v=jdW33V9Fokw,"wild fire is rampant, deforestation","showing a lot of memes, enviromental, tree-related, donate money and try to set an example","collective youtube, make a change"
https://www.youtube.com/watch?v=4BwaYTYNRvw,None,using game results to donate money to tt,None
https://www.youtube.com/watch?v=JW4njWmvx0o,"need to restore and manage forests, mitigate climate change","review law case that are related to natural resources or ""plants"" (marijuana)","verify TeamTrees' foundation quality (arbor day is trustworthy), go help plant a tree"
https://www.youtube.com/watch?v=NqvrWWCJ28A,None,planting trees in minecraft,you can help save the planets and the trees by donating
https://www.youtube.com/watch?v=6Waq-UrvkSY,None,"mythological tree stories, scary creatures on tree","I'm proud of this movement, go donate"
https://www.youtube.com/watch?v=Hj2XekNq_uA,None,"draw attention by sarcasm, incite controversy",None
https://www.youtube.com/watch?v=#NAME?,,,
https://www.youtube.com/watch?v=gfqDmQGvSVk,"greedy corps cutting down trees, amazon wildfire, deforestation","expressing concern for climate in a funny way, chatting style vid, political thoughts, criticism of slacktivist","make an action instead of just raising awareness, save the planet"
https://www.youtube.com/watch?v=BF_fJgP6VYU,None,"news, updates on TeamTrees getting a nasdaq board in ny time square",None
https://www.youtube.com/watch?v=8Fxr1C4ihgs,,,
https://www.youtube.com/watch?v=rvFMBRnR3ms,"photosynthesis is still the best way to save the environment, so trees are needed","biology video on photosynthesis, detailed info on tt at the end, donate money","encourage participation by donation or sharing, Mr Beast recruit all of us"
https://www.youtube.com/watch?v=H3f1-XuTUMQ,None,"art history on some special topic about historic buildings, spread the word, no info on tt",None
https://www.youtube.com/watch?v=BqCPGHoWkmg,,,
https://www.youtube.com/watch?v=Ww6G3e8EyrI,None,"stream games, mention of donation to tt",go donate
https://www.youtube.com/watch?v=hsMGMmGG8i4,None,"movie analysis on groot, video made in honor of tt","it's close to goal , we can make it"
https://www.youtube.com/watch?v=16kOHOuijnc,None,"playing minecraft, promise donation to tt","we need to protect our forest in real life,"
https://www.youtube.com/watch?v=tV9s49_-PaA,,,
https://www.youtube.com/watch?v=r3yxUTbF-04,,,
https://www.youtube.com/watch?v=Cpt2UYCAyaw,None,"share and react to other's video, Sr Pelo's animation",
https://www.youtube.com/watch?v=Vi_yur1Jy1Y,"the world need more trees, need to protect trees, plant em all","make a song of protecting trees, related to pokemon, introduce the events.",
https://www.youtube.com/watch?v=ObPIzQqGnsg,"protect environment, different generation of protecting the environment. ","Chat with audience while playing GTA, answer a bunch of random questions. One of them is his reactions to teamtrees.",
https://www.youtube.com/watch?v=mUb65tbOtoI,None,made a kid song related to tree. you should hug a tree,
https://www.youtube.com/watch?v=gE14cz-tEk0,None,show how to plan pine trees from seads. one of series videos.,
https://www.youtube.com/watch?v=5Nsgok2jIPw,Trees make oxygens and help global warming. Good for environment and life. Trees make people feel better.,Explain tree-related knowledge. Talk about how trees good for health and environment in a funny way.,
https://www.youtube.com/watch?v=Kv3cYKCUoKM,"The environment is doing too hot right now, but it is not too late. We can still do something.",I have made my donation. made a tree machine in MineCraft.,
https://www.youtube.com/watch?v=U7nJBFjKqAY,Wild fires. Use truck to plaint trees by human and trucks are dangerous. Protect mother earth. Climate change is happening. CO2 in the air. Break hotest record.,Use drones to plant trees from the sky. Showing other YouTubers and celebrities. Say he would donate 20 million dollars.,
https://www.youtube.com/watch?v=7rmaLiaDQ3Q,None,Announce the event in a regular gameplay. Say he is a part of TT,
https://www.youtube.com/watch?v=je6Be62dOoA,"Why people hating, debating about changing the world but no actions",A rap to introduce the campaign,
https://www.youtube.com/watch?v=l3cnu4qGHnk,Wild fires. Big problems in california/south ameria/africa,Use tree sounds to make a procasion samples and compose a music.,
https://www.youtube.com/watch?v=g5bEYs9QzC8,Climate change denial. Change tone of climate change. River dried up. Tree died.,Showing an animation mixed with Vlog of spending $1000. Show he donated 1000 trees.,
https://www.youtube.com/watch?v=kHsryl_NM2Y,Not specified,Plant trees in Mincraft. While chat with other audience,
https://www.youtube.com/watch?v=6LzY5dc4hGk,Global warming,Showing funny memes related to TT.,
https://www.youtube.com/watch?v=95Gh_RCfWrM,Fix global warming,A comedy(self-challege) to show finding money in trees. ,
https://www.youtube.com/watch?v=hdIMP0_B2L0,,,
https://www.youtube.com/watch?v=ut7KVg04Xng,Tired of waiting people above me to act. Climate change,Hiding spots in a gameplay about Trees,
https://www.youtube.com/watch?v=0eqSMC-Ndtk,None,Share Mark Rober's video,
https://www.youtube.com/watch?v=IRLpy6qoaIw,,,
