video_url,diagnostic (problem),prognostic (plan of attack),motivation (call to arms)
https://www.youtube.com/watch?v=j3Xj6SNIY94,None,"5s mention tt, reacting to medical memes","save the planets and plant some trees, go donate"
https://www.youtube.com/watch?v=w89UZ5XOoLc,None,"play arcade game and try to win money to donate, didn't mention anything else about tt",None
https://www.youtube.com/watch?v=g6JkRxhPAHI,None,"donate money, play minecraft","make a positive change, make earth a beautiful place, the project needs our help, go donate"
https://www.youtube.com/watch?v=jdW33V9Fokw,"wild fire is rampant, deforestation","showing a lot of memes, enviromental, tree-related, donate money and try to set an example","collective youtube, make a change"
https://www.youtube.com/watch?v=4BwaYTYNRvw,None,using game results to donate money to tt,None
https://www.youtube.com/watch?v=JW4njWmvx0o,"need to restore and manage forests, mitigate climate change","review law case that are related to natural resources or ""plants"" (marijuana)","verify TeamTrees' foundation quality (arbor day is trustworthy), go help plant a tree"
https://www.youtube.com/watch?v=NqvrWWCJ28A,None,planting trees in minecraft,you can help save the planets and the trees by donating
https://www.youtube.com/watch?v=6Waq-UrvkSY,None,"mythological tree stories, scary creatures on tree","I'm proud of this movement, go donate"
https://www.youtube.com/watch?v=Hj2XekNq_uA,None,"draw attention by sarcasm, incite controversy",None
https://www.youtube.com/watch?v=#NAME?,,,
https://www.youtube.com/watch?v=gfqDmQGvSVk,"greedy corps cutting down trees, amazon wildfire, deforestation","expressing concern for climate in a funny way, chatting style vid, political thoughts, criticism of slacktivist","make an action instead of just raising awareness, save the planet"
https://www.youtube.com/watch?v=BF_fJgP6VYU,None,"news, updates on TeamTrees getting a nasdaq board in ny time square",None
https://www.youtube.com/watch?v=8Fxr1C4ihgs,,,
https://www.youtube.com/watch?v=rvFMBRnR3ms,"photosynthesis is still the best way to save the environment, so trees are needed","biology video on photosynthesis, detailed info on tt at the end, donate money","encourage participation by donation or sharing, Mr Beast recruit all of us"
https://www.youtube.com/watch?v=H3f1-XuTUMQ,None,"art history on some special topic about historic buildings, spread the word, no info on tt",None
https://www.youtube.com/watch?v=BqCPGHoWkmg,,,
https://www.youtube.com/watch?v=Ww6G3e8EyrI,None,"stream games, mention of donation to tt",go donate
https://www.youtube.com/watch?v=hsMGMmGG8i4,None,"movie analysis on groot, video made in honor of tt","it's close to goal , we can make it"
https://www.youtube.com/watch?v=16kOHOuijnc,None,"playing minecraft, promise donation to tt","we need to protect our forest in real life,"
https://www.youtube.com/watch?v=tV9s49_-PaA,,,
https://www.youtube.com/watch?v=43-CpsLHx7w,None,"unboxing tt tshirt, didn't say what tt is about","2020 is upon us, let's make some great changes"
https://www.youtube.com/watch?v=CTkT_Ulkp1c,,,
https://www.youtube.com/watch?v=YWDHysn7kpU,None,"short intro about tt, planting trees in minecraft","I am supporting this amazing cause to help save the planet, if we can all gather together we can achieve goal"
https://www.youtube.com/watch?v=Y40oQ4dmh-I,,,
https://www.youtube.com/watch?v=OFeD_4bZppk,None,"mention tt-the reason for vid, some game play, then plant actual trees based on game results","if you guys want to help
out without actually going out playing trees go to team trees and donate a dollar"
https://www.youtube.com/watch?v=YAxs1qLXWBE,None,saying teamtrees.org a bunch of times,None
https://www.youtube.com/watch?v=gqng2MPClO8,"deforestation, corps cutting down trees","in depth intro about tt, deforestation problems, then build taser tree ","we are doing the largest YouTube collab of all time, please join.  team
trees is a statement a symbol of what we can do when we get together "
https://www.youtube.com/watch?v=hCOwI8qtcBc,"a climate-change program in China that has planted many trees, we can't lose to the communists","animation, characters talking about tt","planting trees is a positive thing, fish (character) needs oxygen"
https://www.youtube.com/watch?v=rX29UBkP5_A,None,animation about Steve destroying trees,"don't be like Steve, save the trees"
https://www.youtube.com/watch?v=xS0-9IR4aI8,trees makes oxygen,"sexual innuendos poem about trees, and tt","we must embrace the dirt and not focus on wealth, if you want to donate or inspire people, the world is dying"
https://www.youtube.com/watch?v=BvDomCZjOls,None,"random storytelling about tt, not very informative","save the planet, donate to tt"
https://www.youtube.com/watch?v=3TQxsTpywdk,None,"animation, random storytelling about trees, not very informative",enjoy trees? Donate to tt
https://www.youtube.com/watch?v=6kt0T0r-Kuk,None,animation about planting a tree,donate to tt
https://www.youtube.com/watch?v=ouxmQoWNebE,None,"showing a lot of trees in roblox, tt banner in the end",None
https://www.youtube.com/watch?v=3VUsgSFYz6M,"think about the co2 emissions, providing animal with shelters","talk about teamtreees, info, then plant actual trees","donate on team trees, the trees are perfect for your climate, you can be proud for the rest of your life"
https://www.youtube.com/watch?v=O8KQxXBO7pI,Spanish,,
https://www.youtube.com/watch?v=ZNz_tE5VgCY,"the impact would be amazing, so much oxygen",generations react to Mr Beast video and the campaign,"youtuber gather together to create a very large movement, be inspiring for changes, be positive influence, the power of collective action"
https://www.youtube.com/watch?v=rokEqZGNCk4,None,winning tickets in arcade to donate money to tt,None
https://www.youtube.com/watch?v=8-Ykr3CdmE0,"loss of habitat for wild animals, deforestation",videos introducing TT and talk about climate change negative effects,"save the bees help the trees, donate"
https://www.youtube.com/watch?v=PeyYmhPcOiY,"deforestation, wildfires, increasing global warming, wildlife endangered","long intro about tt, donating 1k","save the planet, save environment, donate if you want your grandkids to live happy"
https://www.youtube.com/watch?v=Q46iP7Ox7Vs,None,"reacting to an animation about tt, some intro about tt",None
https://www.youtube.com/watch?v=2ugaDKZDsno,"trees being cut down at an alarming rate, too much plastics","plant actual trees, talk about climate and how excessive humankind has been","we should reflect more on important trees are, try giving back to the planet, do your part by donating"
https://www.youtube.com/watch?v=mDAJ2vxsa7k,None,promote tt,go like all the teamtrees videos
https://www.youtube.com/watch?v=Ca7k3R4aGtk,None,video clip that's modified to be funny and tt-related: elon musk donates a lot,None
https://www.youtube.com/watch?v=9iHYHTFZ9To,None,"livestream playing games, short 30s intro about tt and mr beast and donation site",go donate
https://www.youtube.com/watch?v=74-JnHMXZzQ,None,"go hiking with dog, show donation",adding trees if you like hiking
https://www.youtube.com/watch?v=13MQldzwxkE,None,"touring garden, matching donation, show enthusiasm for nature",go donate
https://www.youtube.com/watch?v=jaJOYbr96sU,,,
https://www.youtube.com/watch?v=DOdDURQtXFI,None,react to tt video,go donate
https://www.youtube.com/watch?v=sBaG_xBQbzo,"deforestation, unsustainable activity of homebuilding",stats on how destructive homebuilders are re: deforestation,"tree matters, everyone could do their little part"
