embedUrl,videoId,title,isIncluded,diagnostic,mention,prognostic,motivational_action,motivational_rationale
https://www.youtube.com/embed/CSGxGIWCL_w,:CSGxGIWCL_w,"How to Build a Cedar Arbor for Arborary | One Day Build #TeamTrees",true,[none_apply],[embedded],[creation],[donation;more_trees;promote_campaign],[celebrity_effect;community_effect]
https://www.youtube.com/embed/0emgG3lOvmg,:0emgG3lOvmg,"Terrific Trees: A SciShow #TeamTrees Compilation",true,[none_apply],[dedicated],[knowledge],[donation;more_trees],[celebrity_effect;community_effect]
https://www.youtube.com/embed/7lMx40PYZ_g,:7lMx40PYZ_g,"TeamTrees",true,[climate_change],[dedicated],[spread_the_word;plant_trees],[donation;more_trees],[tree_benefits;celebrity_effect;community_effect]
https://www.youtube.com/embed/YQYw6kt5fUw,:YQYw6kt5fUw,"TEAMTREES ARE AFTER ME! - Paali600 Plays Minecraft - Episode 6 - #teamtrees Part 1",true,[none_apply],[hashtag],[gameplay],[none_apply],[none_apply]
https://www.youtube.com/embed/6kTYvecD0zA,:6kTYvecD0zA,"#TEAMTREES / Kids Creative World",true,[none_apply],[dedicated],[donation],[donation;support_channel],[community_effect]
https://www.youtube.com/embed/JiHXMxe5T_Q,:JiHXMxe5T_Q,"ViviGaming $200 GIVEAWAY #TEAMTREES",true,[none_apply],[dedicated],[spread_the_word],[donation],[celebrity_effect]
https://www.youtube.com/embed/bZpeF1ZfMvY,:bZpeF1ZfMvY,"Together We Will Plant 20 Million Trees #TeamTrees",true,[climate_change],[dedicated],[spread_the_word;donation],[donation;more_trees],[celebrity_effect;community_effect]
https://www.youtube.com/embed/KEA8wis3FIs,:KEA8wis3FIs,"Planting a tree for #TeamTrees (ft. Mark Rober)",true,[none_apply],[dedicated],[spread_the_word;plant_trees],[donation;more_trees],[celebrity_effect;community_effect]
https://www.youtube.com/embed/VtDrJvFKCfs,:VtDrJvFKCfs,"PLANTING ONE MILLION TREES in ROBLOX #TeamTrees",true,[none_apply],[dedicated],[gameplay],[none_apply],[celebrity_effect]
https://www.youtube.com/embed/Glzt34NfFUg,:Glzt34NfFUg,"Planting 20,000,000 TREES In ROBLOX!! #TeamTrees",true,[none_apply],[dedicated],[spread_the_word;gameplay],[donation;support_channel],[tree_benefits;celebrity_effect;community_effect]
https://www.youtube.com/embed/WcnVW1W705k,:WcnVW1W705k,"Can AIRPLANES plant ROCKET trees??? #TeamTrees",true,[none_apply],[embedded],[creation],[promote_campaign],[none_apply]
https://www.youtube.com/embed/pLL4yPpTCBA,:pLL4yPpTCBA,"The Tree Tier List",true,[deforestation],[dedicated],[knowledge],[donation;more_trees],[celebrity_effect;community_effect]
https://www.youtube.com/embed/_8cnPOWFSYI,:_8cnPOWFSYI,"#teamtrees but with a coconut",true,[none_apply],[embedded],[creation],[environment_actions],[celebrity_effect]
https://www.youtube.com/embed/vkx1N3zhdew,:vkx1N3zhdew,"You've Been Breathing Wrong #teamtrees | Kati Morton",true,[climate_change],[embedded],[knowledge],[donation],[tree_benefits;celebrity_effect]
https://www.youtube.com/embed/d2f0S4GPMus,:d2f0S4GPMus,"#TeamTrees - Kingdomcraft #25",true,[climate_change],[embedded],[knowledge],[donation],[tree_benefits;celebrity_effect]
https://www.youtube.com/embed/KruFOeXIqJg,:KruFOeXIqJg,"#TEAMTREES FUNDRAISER STREAM | #TeamTREEvaless   #Minecraft LIVE",true,[none_apply],[embedded],[gameplay],[donation],[none_apply]
https://www.youtube.com/embed/wqdOnEnfJXM,:wqdOnEnfJXM,"TREE(Graham's Number) (extra) - Numberphile",true,[none_apply],[hashtag],[knowledge],[none_apply],[none_apply]
https://www.youtube.com/embed/9pzs2hFljXM,:9pzs2hFljXM,"TeamTrees 20MIL | Template",true,[none_apply],[embedded],[spread_the_word;creation],[none_apply],[none_apply]
https://www.youtube.com/embed/YKuLcoVFzqM,:YKuLcoVFzqM,"I Tried Following A Bob Ross Painting Tutorial #TeamTrees",true,[climate_change],[embedded],[creation],[donation;environment_actions],[tree_benefits;celebrity_effect;community_effect]
https://www.youtube.com/embed/502dcYGqcZ4,:502dcYGqcZ4,"#TeamTrees Meets Their Goal Just Before Christmas",true,[none_apply],[dedicated],[spread_the_word],[none_apply],[celebrity_effect]
https://www.youtube.com/embed/L1GNOdMhthU,:L1GNOdMhthU,"Team Trees in Terraria!!",true,[none_apply],[hashtag],[gameplay],[none_apply],[none_apply]
https://www.youtube.com/embed/2XE7SpfGdLI,:2XE7SpfGdLI,"#TeamTrees Deathrun | WORLD RECORD",true,[none_apply],[hashtag],[gameplay],[none_apply],[none_apply]
https://www.youtube.com/embed/KijsOzOdQ-M,:KijsOzOdQ-M,"TREE IMPRESSIONS?! #TeamTrees",true,[none_apply],[dedicated],[spread_the_word],[donation;support_channel],[celebrity_effect;community_effect]
https://www.youtube.com/embed/gfwX5niNBdY,:gfwX5niNBdY,"RECLAIMED WOOD Toolbox/Planter for #TeamTrees",true,[deforestation],[embedded],[creation],[donation;environment_actions],[community_effect]
