video_url,diagnostic (problem),prognostic (plan of attack),motivation (call to arms),
https://www.youtube.com/watch?v=1US7Mj7mM60,,,,Private video
https://www.youtube.com/watch?v=hT0uqXlZ70A,"""we're doing it to save all the animals""","""I should plant 20,000,000 trees in minecraft""","""because of mr. Beast"", ""we're doing it to save all the animals""",
https://www.youtube.com/watch?v=LTg_J93Queo,"""this earth i9s in trouble""""""the earth is dying""","show bonny to pursuade people to donate""","""the earth is beautiful""""I love bonny""""I don’t want to die""",
https://www.youtube.com/watch?v=14z9kVr1t3U,"""people like to cut down trees for energy""","""I talk about trees because im a scientist""","""trees are scientific marvels""""trees help with all of the things (we need to live)""",
https://www.youtube.com/watch?v=TIdHHlxmoyY,"""you may have heard of tems trees by now""","every intance of trees in lorax, explaining movement","""lets help the environement together""",
https://www.youtube.com/watch?v=OrKZ5hAPPZM,"""theres no more air""because of no trees, forest fires",animation about talking abou the movement,"""do you like being able to breathe""""if you’ve donated, …tweet it to me, I like seeing this community do awesome things""",
https://www.youtube.com/watch?v=EHjYKqUhXAs,,plants a bunch of trees in roblox?,,
https://www.youtube.com/watch?v=LdLSs7LMd-0,wanted to do something for 20mil subscribers,timelapse of # $ donated for TT,,
https://www.youtube.com/watch?v=FFjoU0YJn3Y,"""couldn’t actually plant 20mil trees""""I havetn been the most envronmentally contious""",React to mr. Beast platning trees,"""save the planet trees!""",
https://www.youtube.com/watch?v=EZxFBcOGO7A,all the things are threatening the tree,reaction to animation about bat treatment of trees,"""you are going to do something about this""",
https://www.youtube.com/watch?v=zIyshL3PdD4,"important to give when people need it""",introduce TT through P4A,,
https://www.youtube.com/watch?v=M_NA-rUQMQI,,,,video unavailable
https://www.youtube.com/watch?v=GgBSwCLJC-U,,,,this had nothing in it
https://www.youtube.com/watch?v=mucAJW6qEvk,"plants seems to be screaming when they are hurt""""I am not very good at taking care of plants""",plants make auditory sounds when in pain,"""I really recommend that you donate to team trees""""if you have any reccommendations, please them them in the comments below""",
https://www.youtube.com/watch?v=XemaFKMVuII,trees in picture were all shopped down,photoshopping trees back into the picture,"""help plant 20mil trees by 2020""",
https://www.youtube.com/watch?v=G4QSB4PFfoI,"""trees help people""",Huskies playing with narration about TT,"""mr.beast needs some help""",
https://www.youtube.com/watch?v=QdTcT2bYWhM,"""mr. best is trying tto plant 20mil trees""",3D printed rubix cubes,"""I thought it was a great idea and wanted to help out""""support it if you can""",
https://www.youtube.com/watch?v=vGCxFbd5vIo,,live stream of COD mentioning TT,"""gotta support the building the trees""",
https://www.youtube.com/watch?v=w4lOOI16Gd4,"""we pnly have 1 earth so we better take care of it""",comment and narration of mr. Beast planting trees,"will make an enormous differents in trying to combat climate change""",
https://www.youtube.com/watch?v=yu_Hl9zrnAk,trying to get to planting 20mil by jan1 2020,raise awareness by animating planting trees in minecraft,,
