video_url,diagnostic (problem),prognostic (plan of attack),motivation (call to arms),
https://www.youtube.com/watch?v=r3yxUTbF-04,,,,broken link
https://www.youtube.com/watch?v=Cpt2UYCAyaw,None,"share and react to other's video, Sr Pelo's animation","Go support teamtrees guys, I really do think it is a good idea.",
https://www.youtube.com/watch?v=Vi_yur1Jy1Y,None,"make a song of protecting trees, related to pokemon, introduce the events.","the world need more trees, need to protect trees, plant em all, I have made my donations, you can go there and donate",
https://www.youtube.com/watch?v=ObPIzQqGnsg,None,"Chat with audience while playing GTA, answer a bunch of random questions. One of them is his reactions to teamtrees.","protect environment, different generation of protecting the environment. MrBeast and Team trees helps educate the next generation. ",
https://www.youtube.com/watch?v=mUb65tbOtoI,None,made a kid song related to tree. you should hug a tree,"We need more trees, we need more oxygen. You can make a difference. You can donate to TT",
https://www.youtube.com/watch?v=gE14cz-tEk0,None,show how to plan pine trees from seads. one of series videos.,"The movement is started by mr beast, we are plainting a whole lot of trees. Pull out resoures and do it in a large scale, it can be cheaper. Show a link to a champion under the video, so viewers can donate. Or plaint tree on your own.",
https://www.youtube.com/watch?v=5Nsgok2jIPw,None,Explain tree-related knowledge. Talk about how trees good for health and environment in a funny way.,"Trees make oxygens and help global warming. Good for environment and life. Trees make people feel better.. Mr beast start the campaign, get together to help out. Checkout the donation website. Checkout other YouTubers' videos.",
https://www.youtube.com/watch?v=Kv3cYKCUoKM,"The environment is doing too hot right now, but it is not too late. We can still do something.",I have made my donation. made a tree machine in MineCraft.,"Please think about donating to team trees. I have donated 10k. You can recycle, clear up streams",
https://www.youtube.com/watch?v=U7nJBFjKqAY,Wild fires. Use truck to plaint trees by human and trucks are dangerous. Protect mother earth. Climate change is happening. CO2 in the air. Break hotest record.,Use drones to plant trees from the sky. Showing other YouTubers and celebrities. Say he would donate 20 million dollars.,"Explain MrBeast's plan, it is a cool idea. Drones are fast and safe. Use technology to solve problems. We need you to participate. Please donate as many trees as posible. Please plan trees. Share TT messages. ",
https://www.youtube.com/watch?v=7rmaLiaDQ3Q,None,Announce the event in a regular gameplay. Say he is a part of TT,"Mrbeast, Elon musk. Asked participants to donate.",
https://www.youtube.com/watch?v=je6Be62dOoA,"Why people hating, debating about changing the world but no actions",A rap to introduce the campaign,"You can make a change by planting trees. Join pewds, jaiden, ukraine, elon. A little help gets what you want. We need to take a part. We need to put together. Call for donation.",
https://www.youtube.com/watch?v=l3cnu4qGHnk,Wild fires. Big problems in california/south ameria/africa,Use tree sounds to make a procasion samples and compose a music.,"Trees are important. If you want to donate, link below.",
https://www.youtube.com/watch?v=g5bEYs9QzC8,Climate change denial. Change tone of climate change. River dried up. Tree died.,Showing an animation mixed with Vlog of spending $1000. Show he donated 1000 trees.,MrBeast inspired this video. In honor of Greta Thunberg + Santa Claus. Go to TeamTress and donate.,
https://www.youtube.com/watch?v=kHsryl_NM2Y,None,Plant trees in Mincraft. While chat with other audience,Join the server to plant trees together.,
https://www.youtube.com/watch?v=6LzY5dc4hGk,Global warming,Showing funny memes related to TT.,Ask for donation. Showing Mr.Beast's campaign.,
https://www.youtube.com/watch?v=95Gh_RCfWrM,Fix global warming,A comedy(self-challege) to show finding money in trees. ,"Inspired by MrBeast, Australian cousin. Send the message.",
https://www.youtube.com/watch?v=hdIMP0_B2L0,,,,account deleted
https://www.youtube.com/watch?v=ut7KVg04Xng,Tired of waiting people above me to act. Climate change,Hiding spots in a gameplay about Trees,React to MrBeast. Call for donation.,
https://www.youtube.com/watch?v=0eqSMC-Ndtk,None,Share Mark Rober's video,None,
https://www.youtube.com/watch?v=IRLpy6qoaIw,,,,Video  unavailable
