embedUrl,videoId,title,isIncluded,diagnostic,mention,prognostic,motivational_action,motivational_rationale
https://www.youtube.com/embed/CTw9GhD01Kc,:CTw9GhD01Kc,#TeamTrees - Pokemon Showdown Fundraiser Livestream!,,,,,,
https://www.youtube.com/embed/7al-2Wdy8N8,:7al-2Wdy8N8,Pagan Missionary 🌲🙏🌳  - #TeamTrees,,,,,,
https://www.youtube.com/embed/dbV7Twl5VgE,:dbV7Twl5VgE,Tall Grasses #TeamTrees,,,,,,
https://www.youtube.com/embed/0hsqldwpalE,:0hsqldwpalE,FUT Champs Rewards Live - Best TOTW Yet?? - Fifa 20,,,,,,
https://www.youtube.com/embed/QBOLgYqVoe4,:QBOLgYqVoe4,"Planting 1,000,000 Trees In Minecraft By Hand! | Team Trees Charity Livestream",,,,,,
https://www.youtube.com/embed/RdRIM9iLlVo,:RdRIM9iLlVo,Polyguns & Jailbreak | Tips Go To #TeamTrees | WolfGaming,,,,,,
https://www.youtube.com/embed/pqK5-QY-bds,:pqK5-QY-bds,I LOST EVERYTHING GAMBLING in Camp Minecraft! #TeamTrees,,,,,,
https://www.youtube.com/embed/VukIXhda1sk,:VukIXhda1sk,#TeamTrees,,,,,,
https://www.youtube.com/embed/ojKrnL8eQgo,:ojKrnL8eQgo,Planting 20 million trees in Minecraft *LIVE* #TeamTrees,,,,,,
https://www.youtube.com/embed/jleiDE4-I1g,:jleiDE4-I1g,#TEAMTREES OLD SCHOOL MINECRAFT,,,,,,
https://www.youtube.com/embed/GXS6wfXS7fs,:GXS6wfXS7fs,Plant Vs Zombie Walkthrough #4  #TeamTrees,,,,,,
https://www.youtube.com/embed/a8LNv55QhaQ,:a8LNv55QhaQ,🔴 STREAMING FOR 24 HOURS TO HELP #TEAMTREES,,,,,,
https://www.youtube.com/embed/0N-tTOjH-_I,:0N-tTOjH-_I,1 Kill = $1 to #TeamTrees,,,,,,
https://www.youtube.com/embed/C7s6aOWyfKQ,:C7s6aOWyfKQ,Why All Animals Need Trees #teamtrees,,,,,,
https://www.youtube.com/embed/-FaPgDFbkQw,:-FaPgDFbkQw,Terraria Team Trees! | Pringles Episode 2,,,,,,
https://www.youtube.com/embed/c6a1jMTC6Rk,:c6a1jMTC6Rk,The trees need us... planters group! 🌱 #TeamTrees,,,,,,
https://www.youtube.com/embed/LkBG1DT1sfs,:LkBG1DT1sfs,#TeamTrees (I'm super late),,,,,,
https://www.youtube.com/embed/IBRQA3CzWs4,:IBRQA3CzWs4,#TeamTrees,,,,,,
https://www.youtube.com/embed/mecdWKGeFqU,:mecdWKGeFqU,"Team Trees hits 15,300,000 trees #TeamTrees #YTBattles",,,,,,
https://www.youtube.com/embed/WfezB3DEAmI,:WfezB3DEAmI,Team Trees Is Stupid | Unsubscribe campaign Ep 7.,,,,,,
https://www.youtube.com/embed/GSURfd2ZkQY,:GSURfd2ZkQY,WELL DONE TEAM TREES,,,,,,
https://www.youtube.com/embed/XemaFKMVuII,:XemaFKMVuII,Replanting a FOREST! #TeamTrees,,,,,,
https://www.youtube.com/embed/16kOHOuijnc,:16kOHOuijnc,How to Build a Tree in Minecraft #teamtrees,,,,,,
https://www.youtube.com/embed/nC_3IG-560k,:nC_3IG-560k,Planting 100 Trees! #teamtrees | #DoinItForBoots | LIVE! with t.U.G. | Stream # 21,,,,,,
