videoId,channelId,publishedAt,searchKey
:gXqH2fLFLuQ,UCcWclXWbEGiJ62OQyRCr82Q,2019-10-29,cocaine+ addict
:RbH8ytXww00,UC0OPSqjSuqsDPhZFokbVxZg,2019-11-03,cocaine+ addict
:GgMNoFlK5-g,UCkHUVjCwBJIRmV_8cFlx0qQ,2019-11-05,cocaine+ addict
:nHHpT4pWsKE,UCnxGkOGNMqQEUMvroOWps6Q,2019-11-05,cocaine+ addict
:dkqo3SZpS0Q,UCxDCzMxRXwoSMtjfK6cZUfQ,2019-10-27,cocaine+ addict
:6yXLpBf9aOc,UCQBwn3Mp605riUxT23Y1taA,2019-11-04,cocaine+ addict
:6NlfnFfqJ2Q,UCWlIGsKGsvgFJHkiZml4O1A,2019-10-26,cocaine+ addict
:G5J-AKubO-U,UCqy7U-Yv4bWsBmo8HCefsvQ,2019-11-05,cocaine+ addict
:tSZ2lvjnqlw,UC_xGi9VGsn6xgxigxyNoKxw,2019-10-26,cocaine+ addict
:NDftW0-s-7E,UCJJDFP9XgtqZQ8I6zDEiM9g,2019-10-31,cocaine+ addict
:TwKbbNvjPuk,UCyihsjq4utk4RocBaQ5qoJw,2019-10-26,cocaine+ addict
:nqAGdE6l_Js,UCqx5Z7wqwgPsBJhbG_Az96Q,2019-11-06,cocaine+ addict
:hdfsYErp-XI,UCuC7_TIHMENSD_D2WHIl55w,2019-11-05,cocaine+ addict
:_kdFeW2nybI,UCicjynhfFw2LiIQFnoS1JTw,2019-10-29,cocaine+ addict
:UcXy49UnEMU,UCz9jK123qAo5ATWtuuCn8IA,2019-11-06,cocaine+ addict
:UE1ott0rCZY,UCBsDkSQyoxCzxIAgAJ3OOww,2019-10-29,cocaine+ addict
:E3Hj5IupgNU,UCKgAB8lqTbqbwXC-e6_9lhQ,2019-11-01,cocaine+ addict
:W4okdP4SOiw,UCnxGkOGNMqQEUMvroOWps6Q,2019-11-05,cocaine+ addict
:Pi4bz-s_EeU,UCpfURmLbv0Sq4miJ3DzlZhA,2019-10-29,cocaine+ addict
:PG1QkKOcFUg,UCCGR6ZnZObWUewULF5YNv2g,2019-11-04,cocaine+ addict
:WbPvDBGN3HM,UCyGVo492TRD2C0BeCRX1ORQ,2019-11-01,cocaine+ addict
:slbGSckaE_4,UCrJhr6Lsd79h1gotlEhc_-w,2019-10-25,cocaine+ addict
:iNlFT3DbSZE,UCtq9uAZnU8ay7y2e8Xl2mGQ,2019-10-30,cocaine+ addict
:3P5gqrhvWeY,UCXzHt1Kg3C4zo3adCu-rbxQ,2019-10-30,cocaine+ addict
:jp2jdQ_zD-M,UCNNTZgxNQuBrhbO0VrG8woA,2019-11-04,cocaine+ addict
:rUC4YUach3c,UC5lt4Zjm2RJZ1AEsGXQDDwQ,2019-11-01,cocaine+ addict
:Ht7SyFoRlFM,UCkf8lC_OH_i-7NGImfpkwfg,2019-11-05,cocaine+ addict
:TSFWvEdCytA,UCsx6m7LlZ8YM-O__Q20hkKQ,2019-10-30,cocaine+ addict
:29tcgnD7nNs,UCg4Rw6Y0u9W-_O4U9XjJaMw,2019-10-31,cocaine+ addict
:1fpMLWMLfG4,UCpTJXVFYh-r3cSxeQhF7nzg,2019-10-25,cocaine+ addict
:DsMyouHLmbM,UCalu5nfUYd8Oe8ZsWRzMiRA,2019-11-05,cocaine+ addict
:-jWJ96Ix1Ks,UC7TbhzSeojWEidkQA0CEDtA,2019-10-28,cocaine+ addict
:bc99tkb5MzM,UCxqcu0FbiNNVDtrBiLYbHhw,2019-10-30,cocaine+ addict
:RPhkgDXrXl8,UCRCTq93p24P0FieBYFAjsoQ,2019-11-02,cocaine+ addict
:A461MlWKHMA,UCESzruf9zmvsxnYhDD90aZg,2019-11-06,cocaine+ addict
:-8AlV9Tb5jc,UCjgl7CQVQIcdq2ki9HeIyng,2019-10-30,cocaine+ addict
:-KWAdwumLH4,UCn8zNIfYAQNdrFRrr8oibKw,2019-11-04,cocaine+ addict
:vWV6rgxfWBw,UCKSa4pIZW7BdE2VipdpiABA,2019-11-05,cocaine+ addict
:nrx0DvF_YKA,UCeHZU0QhhQZlSUxXprsQrUA,2019-11-02,cocaine+ addict
:j4ieDgM3JYg,UCtwTNUq1RUp73obYcuol5bw,2019-11-03,cocaine+ addict
:xDOg0EzUeeg,UC9IQhNgS43lmUdU-KdGyb0A,2019-10-28,cocaine+ addict
:TnPW5DxqNS8,UC3zMA8hCzeB8ldnFVGX1NFA,2019-10-28,cocaine+ addict
:TOpaizuE9mA,UCLCqU7XE_KU1xPmjkpZyGPA,2019-11-01,cocaine+ addict
:11-HZ4uZRYo,UC8wGYEdL3bv1ZaN8l8xC_pQ,2019-11-03,cocaine+ addict
:e3OfwxkN5Ao,UCO8XQ5rTaFEJFX8vQGcBmPg,2019-11-05,cocaine+ addict
:Ql-UVplmiCo,UCA535GeISEVxxS_Fv2tOV_w,2019-11-04,cocaine+ addict
:tIpAOT7Qq6Y,UCglR3RLUxpmDix9DZXoysWw,2019-10-29,cocaine+ addict
:nHkX8D1Kc3k,UCCvcd0FYi58LwyTQP9LITpA,2019-11-05,cocaine+ addict
:pce65Z1LT3E,UCESkPuogrPAt7So7DHMgMUQ,2019-10-28,cocaine+ addict
:Ji3WRXD3CiA,UCcpWZrbYzye7-FY4i1ALfVw,2019-11-02,cocaine+ addict
:IZx2Txjyxx0,UCz0Cz1uiGqdD7bUESCtPCCA,2019-10-29,cocaine+ addict
:3Jf25mJxd-I,UCHwppnYyep0qzdEOjqDE-QA,2019-10-28,cocaine+ addict
:Z_SYKaGGSQY,UCkHUVjCwBJIRmV_8cFlx0qQ,2019-11-02,cocaine+ addict
:pLK1dQ5MoNQ,UCjwPUn3f2YPoLtDn-sekVWg,2019-11-01,cocaine+ addict
:KfsID11Y7qQ,UCsnZf2Il33kY5mST4SD2AwA,2019-11-04,cocaine+ addict
:ymAKbENSz4s,UCnwI-VN5jXWIGQKOI9PMDMw,2019-11-05,cocaine+ addict
:tYbu-ti5AGY,UCHzCXKL1Iy_YRc8NiJk-ngA,2019-10-25,cocaine+ addict
:0vL9M7KFcP8,UCyihsjq4utk4RocBaQ5qoJw,2019-10-26,cocaine+ addict
:auBzFcF2tJQ,UCg5rDLYQHcqBbM_1BK_pAiw,2019-10-25,cocaine+ addict
:SWz0CG4NK2E,UC6ar8dd0HQ6eCd7oPO3VGQQ,2019-10-31,cocaine+ addict
:Wu7WtlS8Ok4,UChauzae_0fZkEGdCtxB1M1Q,2019-10-25,cocaine+ addict
:7-dQ50urlfo,UCcpWZrbYzye7-FY4i1ALfVw,2019-10-28,cocaine+ addict
:XIjgBOMf2ik,UC7t4IIA32Ekd3emwKphNnoQ,2019-10-30,cocaine+ addict
:DLx3XkJm4D8,UCc6isy6l7goznFzqEO9yHEw,2019-11-02,cocaine+ addict
:To0Vtf-6_fU,UC014nDDmCqAieQZXOAd1fSA,2019-11-02,cocaine+ addict
