TASK_ID,SAME_TASK_GROUP_ID,STATUS,USER_ID,IP_ADDRESS,COUNTRY,START_TIME,FINISH_TIME,TIME_TOOK_TO_COMPLETE_TASK,VIDEO_URL,speak_language,category,mrbeast,arborday,teamtrees_org,noteble_youtuber,noteble_entrepreneur,quality,creativity,awareness,event_name
9109456,G5e209faddafab,OK,2779e6bc,67.83.37.43,United States,"Thursday, 16-Jan-20 14:27:46 EST","Thursday, 16-Jan-20 14:31:33 EST",3 minute(s) and 47 second(s),https://www.youtube.com/embed/_evx4uC0Iq4?autoplay=0,speak_yes,spread_word,1,0,1,1,0,very_high,very_high,very_high,TeamTrees
9111145,G5e209faddb8b9,OK,0b087068,2402:800:637c:b5d5:301b:e71d:7337:5de8,Vietnam,"Thursday, 16-Jan-20 23:11:16 EST","Thursday, 16-Jan-20 23:16:11 EST",4 minute(s) and 55 second(s),https://www.youtube.com/embed/W1bfcLnrsDc?autoplay=0,speak_yes,not_recognized,1,1,1,0,0,very_high,very_high,high,TeamTrees
9106779,G5e209fadd6627,OK,a1f28e26,64.43.25.74,Ireland,"Thursday, 16-Jan-20 12:39:30 EST","Thursday, 16-Jan-20 12:46:44 EST",7 minute(s) and 14 second(s),https://www.youtube.com/embed/qYnSGx8ABf8?autoplay=0,speak_yes,spread_word,1,0,1,0,0,high,high,high,TeamTrees
9111184,G5e209faddb3a5,OK,0b087068,2402:800:637c:b5d5:301b:e71d:7337:5de8,Vietnam,"Thursday, 16-Jan-20 23:42:47 EST","Thursday, 16-Jan-20 23:50:09 EST",7 minute(s) and 22 second(s),https://www.youtube.com/embed/X-Z8ALICSxA?autoplay=0,speak_yes,live_stream_stat,0,0,0,0,0,high,high,neutral,TeamTrees
9110784,G5e209faddb3a5,NOK,eac0a6ed,201.208.11.207,United States,"Thursday, 16-Jan-20 18:56:02 EST","Thursday, 16-Jan-20 18:56:38 EST",0 minute(s) and 36 second(s),https://www.youtube.com/embed/X-Z8ALICSxA?autoplay=0,speak_yes,theme_creation_object,1,0,1,0,0,very_high,very_high,very_high,TeamTrees
9110582,G5e209faddb3a5,OK,45f3ac2d,79.71.129.218,United Kingdom,"Thursday, 16-Jan-20 16:32:03 EST","Thursday, 16-Jan-20 16:39:13 EST",7 minute(s) and 10 second(s),https://www.youtube.com/embed/X-Z8ALICSxA?autoplay=0,speak_yes,live_stream_stat,1,0,0,1,0,high,neutral,neutral,TeamTrees
9110552,G5e209faddb3a5,NOK,1dff5063,173.242.133.207,United States,"Thursday, 16-Jan-20 16:20:29 EST","Thursday, 16-Jan-20 16:21:04 EST",0 minute(s) and 35 second(s),https://www.youtube.com/embed/X-Z8ALICSxA?autoplay=0,speak_yes,spread_word,1,0,1,1,0,neutral,neutral,neutral,TeamTrees
9110558,G5e209faddb3a5,OK,4a204893,72.252.198.3,Jamaica,"Thursday, 16-Jan-20 16:20:02 EST","Thursday, 16-Jan-20 16:23:21 EST",3 minute(s) and 19 second(s),https://www.youtube.com/embed/X-Z8ALICSxA?autoplay=0,speak_yes,spread_word,1,0,1,0,0,high,high,high,TeamTrees
9111095,G5e209faddb8b9,OK,6356e68a,2600:8805:800:b01:4123:69f4:9951:9df9,United States,"Thursday, 16-Jan-20 22:41:22 EST","Thursday, 16-Jan-20 22:56:03 EST",14 minute(s) and 41 second(s),https://www.youtube.com/embed/W1bfcLnrsDc?autoplay=0,speak_yes,not_recognized,0,1,1,0,0,high,low,low,TeamTrees
9106807,G5e209fadd6627,OK,613ce543,76.210.30.168,United States,"Thursday, 16-Jan-20 12:43:22 EST","Thursday, 16-Jan-20 12:56:04 EST",12 minute(s) and 42 second(s),https://www.youtube.com/embed/qYnSGx8ABf8?autoplay=0,speak_yes,live_stream_stat,1,0,0,0,1,high,high,high,TeamTrees
9110667,G5e209faddb8b9,OK,2701dd77,2601:900:8200:e90:3949:e9ef:1977:8dc,United States,"Thursday, 16-Jan-20 17:02:01 EST","Thursday, 16-Jan-20 17:16:11 EST",14 minute(s) and 10 second(s),https://www.youtube.com/embed/W1bfcLnrsDc?autoplay=0,speak_yes,not_recognized,1,1,1,1,0,very_high,very_high,high,TeamTrees
9110616,G5e209faddb8b9,NOK,e46e2603,172.116.205.209,United States,"Thursday, 16-Jan-20 16:54:41 EST","Thursday, 16-Jan-20 17:03:41 EST",9 minute(s) and 0 second(s),https://www.youtube.com/embed/W1bfcLnrsDc?autoplay=0,speak_yes,spread_word,1,1,1,0,0,very_high,very_high,very_high,TeamTrees
9110561,G5e209faddb8b9,NOK,1dff5063,173.242.133.207,United States,"Thursday, 16-Jan-20 16:25:18 EST","Thursday, 16-Jan-20 16:26:00 EST",0 minute(s) and 42 second(s),https://www.youtube.com/embed/W1bfcLnrsDc?autoplay=0,speak_yes,spread_word,1,0,1,1,0,high,neutral,neutral,TeamTrees
9120023,G5e209faddb503,OK,5481493a,2a02:c7f:710a:7700:ddf9:1358:60b3:4c8e,United Kingdom,"Friday, 17-Jan-20 12:35:35 EST","Friday, 17-Jan-20 12:38:41 EST",3 minute(s) and 6 second(s),https://www.youtube.com/embed/NG6qRvbj4UU?autoplay=0,speak_yes,theme_creation_performance,1,1,1,1,0,high,very_high,very_high,TeamTrees
9111107,G5e209faddb503,OK,0b087068,2402:800:637c:b5d5:301b:e71d:7337:5de8,Vietnam,"Thursday, 16-Jan-20 23:02:22 EST","Thursday, 16-Jan-20 23:05:12 EST",2 minute(s) and 50 second(s),https://www.youtube.com/embed/NG6qRvbj4UU?autoplay=0,speak_yes,theme_creation_performance,1,1,1,1,0,very_high,very_high,very_high,TeamTrees
9110786,G5e209faddb503,NOK,eac0a6ed,201.208.11.207,United States,"Thursday, 16-Jan-20 18:57:05 EST","Thursday, 16-Jan-20 18:59:40 EST",2 minute(s) and 35 second(s),https://www.youtube.com/embed/NG6qRvbj4UU?autoplay=0,speak_yes,planting_trees,1,0,0,0,0,very_high,very_high,very_high,TeamTrees
9110596,G5e209faddb503,NOK,e46e2603,172.116.205.209,United States,"Thursday, 16-Jan-20 16:42:39 EST","Thursday, 16-Jan-20 16:48:04 EST",5 minute(s) and 25 second(s),https://www.youtube.com/embed/NG6qRvbj4UU?autoplay=0,speak_yes,spread_word,1,1,1,0,0,very_high,very_high,very_high,TeamTrees
9109245,G5e209fadd6627,OK,2779e6bc,67.83.37.43,United States,"Thursday, 16-Jan-20 14:11:56 EST","Thursday, 16-Jan-20 14:17:01 EST",5 minute(s) and 5 second(s),https://www.youtube.com/embed/qYnSGx8ABf8?autoplay=0,speak_yes,spread_word,1,0,1,0,0,very_high,very_high,very_high,TeamTrees
9109294,G5e209faddae61,NOK,2779e6bc,67.83.37.43,United States,"Thursday, 16-Jan-20 14:23:16 EST","Thursday, 16-Jan-20 14:27:40 EST",4 minute(s) and 24 second(s),https://www.youtube.com/embed/m_IcLoPpwQs?autoplay=0,speak_yes,donating,1,0,1,0,1,very_high,very_high,very_high,PleaseDonate
9110554,G5e209faddb503,NOK,1dff5063,173.242.133.207,United States,"Thursday, 16-Jan-20 16:21:13 EST","Thursday, 16-Jan-20 16:22:04 EST",0 minute(s) and 51 second(s),https://www.youtube.com/embed/NG6qRvbj4UU?autoplay=0,speak_yes,spread_word,1,1,1,1,0,high,high,neutral,TeamTrees
