TASK_ID,SAME_TASK_GROUP_ID,STATUS,USER_ID,IP_ADDRESS,COUNTRY,START_TIME,FINISH_TIME,TIME_TOOK_TO_COMPLETE_TASK,VIDEO_URL,speak_language,category,mrbeast,arborday,teamtrees_org,noteble_youtuber,noteble_entrepreneur,event_name,quality,creativity,awareness
9180338,G5e27d917c29b5,OK,c48868e9,66.215.179.140,United States,"Wednesday, 22-Jan-20 01:32:10 EST","Wednesday, 22-Jan-20 01:39:51 EST",7 minute(s) and 41 second(s),https://www.youtube.com/embed/w5r2fq-uq48?autoplay=0,speak_yes,knowledge,0,0,0,0,0,TeamTrees,neutral,neutral,neutral
9179800,G5e27d917b08ed,NOK,c48868e9,66.215.179.140,United States,"Wednesday, 22-Jan-20 01:03:01 EST","Wednesday, 22-Jan-20 01:13:42 EST",10 minute(s) and 41 second(s),https://www.youtube.com/embed/r98lt_ud8k0?autoplay=0,speak_yes,donating,0,0,0,0,0,elm,high,high,high
9184674,G5e27d917c30e0,OK,4995a7e1,173.56.72.223,United States,"Wednesday, 22-Jan-20 10:41:15 EST","Wednesday, 22-Jan-20 10:43:42 EST",2 minute(s) and 27 second(s),https://www.youtube.com/embed/nrCXdQiIx9A?autoplay=0,speak_yes,donating,0,0,1,0,0,TeamTrees,neutral,neutral,high
9180530,G5e27d917c3686,OK,f3dbc745,71.84.201.36,United States,"Wednesday, 22-Jan-20 13:30:49 EST","Wednesday, 22-Jan-20 13:31:01 EST",0 minute(s) and 12 second(s),https://www.youtube.com/embed/APxUJmZNzqw?autoplay=0,speak_yes,theme_creation_object,1,1,1,1,1,TeamTrees,very_high,very_high,very_high
9180544,G5e27d917c3686,OK,c48868e9,66.215.179.140,United States,"Wednesday, 22-Jan-20 03:07:37 EST","Wednesday, 22-Jan-20 03:13:24 EST",5 minute(s) and 47 second(s),https://www.youtube.com/embed/APxUJmZNzqw?autoplay=0,speak_no,knowledge,1,1,1,0,0,TeamTrees,high,neutral,neutral
9185818,G5e27d917c3686,OK,f492de19,75.130.77.135,United States,"Wednesday, 22-Jan-20 11:13:39 EST","Wednesday, 22-Jan-20 11:19:00 EST",5 minute(s) and 21 second(s),https://www.youtube.com/embed/APxUJmZNzqw?autoplay=0,speak_no,planting_trees,1,1,1,0,1,TeamTrees,very_high,high,high
9185808,G5e27d917c3520,OK,d9f60050,23.249.172.48,United States,"Wednesday, 22-Jan-20 11:04:58 EST","Wednesday, 22-Jan-20 11:18:07 EST",13 minute(s) and 9 second(s),https://www.youtube.com/embed/Zf1bUJZNWY0?autoplay=0,speak_yes,spread_word,1,1,1,0,0,TeamTrees,neutral,neutral,high
9180518,G5e27d917c3520,NOK,f3dbc745,71.84.201.36,United States,"Wednesday, 22-Jan-20 02:58:32 EST","Wednesday, 22-Jan-20 03:06:52 EST",8 minute(s) and 20 second(s),https://www.youtube.com/embed/Zf1bUJZNWY0?autoplay=0,speak_yes,planting_trees,1,1,1,1,1,pd,very_high,very_high,very_high
9185690,G5e27d917c3520,NOK,4995a7e1,173.56.72.223,United States,"Wednesday, 22-Jan-20 11:05:48 EST","Wednesday, 22-Jan-20 11:14:22 EST",8 minute(s) and 34 second(s),https://www.youtube.com/embed/Zf1bUJZNWY0?autoplay=0,speak_yes,spread_word,1,1,1,0,0,abd,high,high,high
9187270,G5e27d917c3520,NOK,339d4c7e,24.24.169.139,United States,"Wednesday, 22-Jan-20 12:31:13 EST","Wednesday, 22-Jan-20 12:32:35 EST",1 minute(s) and 22 second(s),https://www.youtube.com/embed/Zf1bUJZNWY0?autoplay=0,speak_yes,planting_trees,1,0,1,1,0,TeamTrees,high,very_high,high
