TASK_ID,SAME_TASK_GROUP_ID,STATUS,USER_ID,IP_ADDRESS,COUNTRY,START_TIME,FINISH_TIME,TIME_TOOK_TO_COMPLETE_TASK,VIDEO_URL,speak_language,category,mrbeast,arborday,teamtrees_org,noteble_youtuber,noteble_entrepreneur,quality,awareness
9074263,G5e1bf63f870ca,OK,ce721d79,86.1.121.128,United Kingdom,"Monday, 13-Jan-20 16:51:38 EST","Monday, 13-Jan-20 16:53:35 EST",1 minute(s) and 57 second(s),https://www.youtube.com/embed/5sp87LcBZLo?autoplay=0,speak_yes,knowledge,0,1,1,0,0,very_high,very_high
9075656,G5e1bf63f870ca,OK,e46e2603,2605:e000:a792:ce00:89d4:2236:a434:97fa,United States,"Monday, 13-Jan-20 21:25:16 EST","Monday, 13-Jan-20 21:27:38 EST",2 minute(s) and 22 second(s),https://www.youtube.com/embed/5sp87LcBZLo?autoplay=0,speak_yes,knowledge,0,1,1,0,0,very_high,very_high
9079185,G5e1bf63f870ca,OK,45f3ac2d,79.71.134.103,United Kingdom,"Tuesday, 14-Jan-20 07:54:10 EST","Tuesday, 14-Jan-20 07:59:59 EST",5 minute(s) and 49 second(s),https://www.youtube.com/embed/5sp87LcBZLo?autoplay=0,speak_yes,theme_creation_performance,0,1,1,0,0,high,high
9067379,G5e1bf63f86495,OK,5481493a,2a02:c7f:710a:7700:84c3:2cd6:a6f:1dc9,United Kingdom,"Monday, 13-Jan-20 10:59:32 EST","Monday, 13-Jan-20 11:05:05 EST",5 minute(s) and 33 second(s),https://www.youtube.com/embed/6l8K1eH624I?autoplay=0,speak_yes,planting_trees,1,0,0,0,0,low,neutral
9070319,G5e1bf63f86495,OK,e46e2603,172.116.205.209,United States,"Monday, 13-Jan-20 13:47:50 EST","Monday, 13-Jan-20 13:54:36 EST",6 minute(s) and 46 second(s),https://www.youtube.com/embed/6l8K1eH624I?autoplay=0,speak_yes,planting_trees,1,1,1,0,0,very_high,very_high
9070835,G5e1bf63f86495,OK,ce721d79,86.1.121.128,United Kingdom,"Monday, 13-Jan-20 14:31:07 EST","Monday, 13-Jan-20 14:34:05 EST",2 minute(s) and 58 second(s),https://www.youtube.com/embed/6l8K1eH624I?autoplay=0,speak_yes,planting_trees,0,1,1,0,0,very_high,very_high
9074370,G5e1bf63f8718a,OK,ce721d79,86.1.121.128,United Kingdom,"Monday, 13-Jan-20 16:53:44 EST","Monday, 13-Jan-20 16:57:00 EST",3 minute(s) and 16 second(s),https://www.youtube.com/embed/7LXrfEu1HmM?autoplay=0,speak_yes,planting_trees,0,0,0,0,0,neutral,high
9075660,G5e1bf63f8718a,OK,e46e2603,2605:e000:a792:ce00:89d4:2236:a434:97fa,United States,"Monday, 13-Jan-20 21:27:50 EST","Monday, 13-Jan-20 21:31:35 EST",3 minute(s) and 45 second(s),https://www.youtube.com/embed/7LXrfEu1HmM?autoplay=0,speak_yes,planting_trees,0,0,1,0,0,high,high
9079333,G5e1bf63f8718a,OK,45f3ac2d,79.71.134.103,United Kingdom,"Tuesday, 14-Jan-20 08:00:20 EST","Tuesday, 14-Jan-20 08:15:01 EST",14 minute(s) and 41 second(s),https://www.youtube.com/embed/7LXrfEu1HmM?autoplay=0,speak_yes,planting_trees,0,0,0,0,0,very_high,very_high
9070897,G5e1bf63f8675b,OK,ce721d79,86.1.121.128,United Kingdom,"Monday, 13-Jan-20 14:34:29 EST","Monday, 13-Jan-20 14:37:01 EST",2 minute(s) and 32 second(s),https://www.youtube.com/embed/es2lMH147AI?autoplay=0,speak_yes,donating,1,0,1,0,0,very_high,high
